"D(Room, Room_GT)","D(Office, Office_GT)","D(Church, Church_GT)","D(Village, Village_GT)"
0.14168568,0.14438774,0.177609,0.16689809
0.23079081,0.15414546,0.19740444,0.30832285
0.10542271,0.080796845,0.17251427,0.109893024
0.16482238,0.14710928,0.18920632,0.11607351
0.16199242,0.18295564,0.21280359,0.12342214
0.36111498,0.12315195,0.20675835,0.28978667
0.18346667,0.20151117,0.17087643,0.24594033
0.13495547,0.11551487,0.20725884,0.10058581
0.33811605,0.21951784,0.18110164,0.3183765
0.10758595,0.09045131,0.18374674,0.18511795
0.2714839,0.19342501,0.23273493,0.24813972
0.12838657,0.21001877,0.19006366,0.20523685
0.4166109,0.14091146,0.20963366,0.2647082
0.2667814,0.1380911,0.20011707,0.17666528
0.19278808,0.110874765,0.16616924,0.22137997
0.29971215,0.1318696,0.21749812,0.17666587
0.1168367,0.101966515,0.21539564,0.14716437
0.16769299,0.099845804,0.17609452,0.15107796
0.088945545,0.08417132,0.1713635,0.218377
0.15487969,0.12327909,0.20939863,0.08921929
0.31412166,0.13867553,0.15432283,0.2781595
0.14668007,0.16342811,0.22679323,0.25641704
0.19653256,0.15884112,0.18319063,0.12616484
0.07399016,0.13565977,0.25560287,0.15667328
0.33923545,0.031281717,0.19078226,0.046579495
0.20395452,0.13066496,0.18587597,0.209339
0.26065704,0.15686627,0.20727624,0.33049873
0.17537789,0.14858252,0.17059864,0.13777986
0.4733342,0.29377002,0.17843327,0.08867999
0.25023752,0.21634032,0.10653273,0.22238244
0.3622403,0.12270617,0.26353315,0.24505907
0.08437279,0.17327781,0.21216553,0.14835529
0.095798515,0.10479603,0.18582776,0.18698657
0.15682055,0.20202436,0.2103901,0.20352809
0.3684822,0.2189145,0.3328755,0.29271898
0.13792351,0.101353556,0.20095307,0.09582736
0.122911185,0.2065483,0.19279525,0.2845051
0.22137499,0.16068844,0.2278093,0.2509528
0.32555735,0.24453612,0.18279018,0.20801875
0.090961576,0.12534992,0.18330112,0.19513616
0.2328836,0.1824703,0.21467991,0.3470349
0.17456076,0.1204037,0.16494836,0.24397632
0.14596549,0.05944716,0.17063245,0.07604313
0.14814565,0.14186913,0.16679087,0.20838863
0.17666236,0.13480224,0.15433541,0.23346001
0.12276594,0.16287215,0.21863666,0.17836447
0.2039204,0.2520882,0.15650365,0.16915193
0.16011953,0.18375592,0.18943349,0.19126877
0.1537364,0.09494509,0.22060238,0.14886454
0.075697646,0.09566642,0.18659583,0.106195204
0.12161648,0.1724624,0.23008344,0.12456598
0.24013801,0.16628231,0.27639773,0.20037766
0.077977225,0.08562999,0.16220863,0.13133107
0.0954941,0.11514662,0.13717736,0.082769714
0.19444706,0.14461437,0.23697251,0.21750791
0.33713308,0.078356564,0.18767126,0.17768794
0.24500148,0.21038662,0.25237966,0.33511978
0.288988,0.22161122,0.13938966,0.16200429
0.30298483,0.1491883,0.17325214,0.23273219
0.27473825,0.061441366,0.24718294,0.27538833
0.11109012,0.09937006,0.17026818,0.16790709
0.24969041,0.19862789,0.15669861,0.23526336
0.21669221,0.17695087,0.19036324,0.23333074
0.1755404,0.109781735,0.20100652,0.190486
0.18627377,0.13739552,0.14348838,0.22220178
0.35923818,0.4657353,0.24852793,0.26609203
0.3055094,0.14809439,0.17145245,0.06251459
0.15259828,0.11998666,0.21589123,0.027072394
0.16055195,0.2289643,0.18726496,0.23224789
0.30174536,0.14044222,0.2806527,0.35720214
0.11158409,0.10072633,0.15575369,0.13628821
0.27226064,0.13943435,0.15390062,0.17805558
0.11153947,0.09611553,0.1702127,0.12995692
0.3540331,0.2077291,0.20344897,0.1801822
0.24964567,0.19540429,0.25620916,0.30444935
0.14406675,0.11580954,0.19579287,0.10883056
0.35770878,0.2181523,0.15675789,0.27572882
0.14357187,0.16205667,0.17042917,0.2152479
0.1433784,0.12485206,0.25804126,0.29380107
0.14764102,0.09627276,0.15137453,0.10089078
0.35026488,0.1538655,0.17449619,0.3193994
0.14874461,0.16738172,0.27056164,0.17065684
0.12938157,0.15089254,0.19478421,0.17640081
0.093177,0.11120713,0.1715174,0.09304341
0.35469496,0.15293714,0.14791788,0.121612735
0.36450487,0.14405091,0.29810783,0.45252872
0.35519725,0.22838798,0.14743094,0.31906417
0.15954371,0.24697313,0.24998105,0.18389016
0.2066527,0.08927284,0.20834649,0.21289966
0.26919508,0.11313594,0.18614933,0.27101317
0.27519444,0.18509325,0.16212843,0.32449254
0.35917267,0.24796529,0.28383037,0.3313783
0.1415004,0.11233159,0.20570713,0.15667301
0.26705837,0.14738679,0.26271343,0.2681593
0.21282832,0.18680304,0.24207675,0.1724632
0.07776345,0.08888392,0.21292062,0.105522335
0.1621548,0.19447027,0.16575488,0.18694417
0.22669223,0.1081981,0.14950837,0.103352286
0.24163695,0.1415548,0.17584547,0.11127421
0.2989989,0.29292938,0.18655446,0.14484933
0.19677632,0.087689154,0.20431657,0.103931494
0.31236273,0.18480946,0.17272612,0.19941321
0.12964508,0.102522165,0.23371668,0.09460335
0.12442851,0.100587755,0.18101044,0.14659235
0.15875913,0.1707501,0.14388447,0.12330483
0.14800487,0.109719574,0.22953919,0.16342776
0.23153162,0.17016245,0.20519516,0.21120527
0.26267362,0.17432414,0.14328942,0.121102065
0.31606394,0.15358405,0.1598945,0.22500049
0.20098987,0.15700008,0.22165439,0.15134786
0.17828459,0.22267859,0.20212151,0.17984672
0.3231631,0.17998964,0.14731357,0.28947985
0.066367894,0.08969,0.22628427,0.083074585
0.30937394,0.18555811,0.1717512,0.24767913
0.17613383,0.14061907,0.19491942,0.16704887
0.11543825,0.16745175,0.24014783,0.21888417
0.09946397,0.12202215,0.20917048,0.15812184
0.16245328,0.1223573,0.2053127,0.15021388
0.2040738,0.15196626,0.17367299,0.13391206
0.10983473,0.11330972,0.15589876,0.20637093
0.28238562,0.1892011,0.19732961,0.2868737
0.18579249,0.17249179,0.34306914,0.17421126
0.25990874,0.1439763,0.20501588,0.09199619
0.34325442,0.24978526,0.22406906,0.28084472
0.09924999,0.08681124,0.20949762,0.13435061
0.18003598,0.11928411,0.16854535,0.24335466
0.06385168,0.09411366,0.2360995,0.1502004
0.15148507,0.11167811,0.19049345,0.21723677
0.24278179,0.2307475,0.1617262,0.20759305
0.19668938,0.082422,0.19004041,0.28928822
0.2899546,0.1323322,0.12723872,0.28061968
0.1548239,0.18014555,0.17110306,0.18197541
0.062438615,0.11827245,0.17711975,0.19561704
0.23097186,0.14661954,0.25110075,0.22899885
0.16550568,0.13317603,0.16504993,0.11572866
0.16680095,0.12489213,0.1680986,0.1251754
0.2480255,0.21576753,0.1766195,0.22212712
0.13776676,0.08413388,0.18049935,0.056571744
0.11837287,0.082276955,0.25883678,0.112828754
0.34085256,0.28842807,0.21742158,0.21096453
0.1697163,0.15832709,0.21068907,0.25692979
0.24306208,0.019896936,0.32018572,0.03668396
0.16452684,0.15056677,0.21467191,0.22564803
0.2046774,0.14836128,0.34534392,0.26025644
0.084191084,0.17424105,0.21285509,0.164258
0.10474139,0.07823296,0.16706873,0.12749684
0.13082278,0.08191426,0.18989632,0.12908629
0.10787965,0.09610668,0.17237641,0.07371815
0.15606667,0.1042278,0.27781326,0.14653085
0.23214166,0.21750323,0.19150622,0.18780397
0.31874818,0.22083642,0.24199958,0.032813214
0.33944568,0.22131832,0.24226516,0.2249781
0.1176008,0.10482917,0.17931888,0.1647187
0.114413746,0.1372415,0.22101854,0.18142217
0.12069305,0.13783605,0.20524825,0.15093715
0.23530462,0.0986698,0.26563913,0.07063234
0.19914898,0.23954532,0.2304194,0.23791045
0.14409323,0.2662511,0.18570966,0.24278632
0.12952456,0.0827978,0.1764425,0.11285353
0.20242961,0.17430478,0.33031818,0.26123488
0.24559873,0.1608998,0.21501495,0.20617865
0.12560931,0.15554354,0.20802037,0.22284093
0.32793203,0.12250064,0.17066038,0.0847987
0.3166744,0.13861784,0.2019251,0.16585049
0.48339483,0.26651502,0.18388693,0.3521773
0.27734637,0.1087743,0.30017018,0.04075571
0.36262286,0.18298541,0.25262344,0.19016197
0.15453178,0.20664053,0.15932548,0.24976096
0.33126068,0.17746942,0.20308568,0.39005667
0.14767367,0.13581537,0.1917495,0.19298458
0.15175831,0.1630688,0.23534039,0.16547178
0.26468694,0.06829867,0.19600703,0.22175382
0.29088354,0.12604493,0.23824736,0.26829436
0.23828639,0.06686911,0.1556183,0.21356885
0.17588536,0.15796934,0.31453392,0.2640315
0.203117,0.0917665,0.20970102,0.043293256
0.29858166,0.17365515,0.3054339,0.09482194
0.18106441,0.11400139,0.19413629,0.17036064
0.24513866,0.18015258,0.16556586,0.24604471
0.17907718,0.25639328,0.2516961,0.030441197
0.15499577,0.14766966,0.22696571,0.1025238
0.31651124,0.17617413,0.19691539,0.32403344
0.3192992,0.06962045,0.28683785,0.05640486
0.29259354,0.17614722,0.25737748,0.26130572
0.14095433,0.15650742,0.21710102,0.14410193
0.19957697,0.24340412,0.22975309,0.13756897
0.2510224,0.16632281,0.1292238,0.17895007
0.17656128,0.11033906,0.15781176,0.13476376
0.13958529,0.15248291,0.16546966,0.19497117
0.08417721,0.15632741,0.188842,0.17124315
0.248758,0.09867421,0.1982807,0.19073844
0.22426169,0.18614161,0.20099135,0.25192654
0.20208877,0.20744845,0.20863865,0.252829
0.09888089,0.06815402,0.14600483,0.06178382
0.19378464,0.33854157,0.14552526,0.20703286
0.2717596,0.18606932,0.23351564,0.15514934
0.25354356,0.2992306,0.38083363,0.099498704
0.27188084,0.1333352,0.19068408,0.13312197
0.27440777,0.16662334,0.20768338,0.2760865
0.25098613,0.18790591,0.18855238,0.21272178
0.06506009,0.10843296,0.22305779,0.12191818
0.33080095,0.22923025,0.22780795,0.2739408
0.220618,0.17673317,0.2411124,0.24498764
0.14466232,0.18563564,0.31272128,0.11823562
