ParticipantID,ArrayDistance,AngularDistance,Timestamp,ClipName,RT
e429643b-026c-409e-8862-c18ea8e77688,Medium,61.09,2023-06-27T13:27:58+01:00,auralisation_Cube (3)_arp,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Near,11.40,2023-06-27T13:22:19+01:00,auralisation_Cube (3)_singing,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Near,51.33,2023-06-27T13:22:28+01:00,auralisation_Cube (2)_drums,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Medium,59.16,2023-06-27T13:27:22+01:00,auralisation_Cube (1)_arp,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Near,12.43,2023-06-27T13:21:42+01:00,auralisation_Cube (1)_arp,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Far,2.38,2023-06-27T13:34:19+01:00,auralisation_Cube (6)_drums,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Medium,4.19,2023-06-27T13:30:09+01:00,auralisation_Cube (3)_drums,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Near,11.40,2023-06-27T13:22:45+01:00,auralisation_Cube (3)_drums,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Far,2.38,2023-06-27T13:33:51+01:00,auralisation_Cube (6)_arp,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Far,2.38,2023-06-27T13:36:56+01:00,auralisation_Cube (6)_singing,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Medium,59.49,2023-06-27T13:25:35+01:00,auralisation_Cube (3)_singing,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Far,2.37,2023-06-27T13:34:00+01:00,auralisation_Cube (4)_arp,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Far,2.40,2023-06-27T13:38:35+01:00,auralisation_Cube (5)_singing,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Medium,58.44,2023-06-27T13:33:33+01:00,auralisation_Cube (1)_singing,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Far,179.15,2023-06-27T13:37:40+01:00,auralisation_Cube (4)_singing,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Far,2.40,2023-06-27T13:34:42+01:00,auralisation_Cube (5)_arp,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Medium,4.11,2023-06-27T13:29:48+01:00,auralisation_Cube (2)_arp,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Far,2.37,2023-06-27T13:34:59+01:00,auralisation_Cube (4)_drums,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Near,104.60,2023-06-27T13:22:05+01:00,auralisation_Cube (2)_singing,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Far,2.38,2023-06-27T13:33:51+01:00,auralisation_Cube (6)_arp,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Near,12.43,2023-06-27T13:18:15+01:00,auralisation_Cube (1)_drums,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Near,12.43,2023-06-27T13:22:51+01:00,auralisation_Cube (1)_singing,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Far,2.38,2023-06-27T13:36:56+01:00,auralisation_Cube (6)_singing,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Medium,4.11,2023-06-27T13:33:10+01:00,auralisation_Cube (2)_singing,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Near,51.33,2023-06-27T13:17:27+01:00,auralisation_Cube (2)_arp,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Far,2.37,2023-06-27T13:34:00+01:00,auralisation_Cube (4)_arp,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Near,51.33,2023-06-27T13:22:28+01:00,auralisation_Cube (2)_drums,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Far,179.15,2023-06-27T13:37:40+01:00,auralisation_Cube (4)_singing,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Far,2.40,2023-06-27T13:34:42+01:00,auralisation_Cube (5)_arp,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Medium,4.11,2023-06-27T13:26:50+01:00,auralisation_Cube (2)_drums,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Medium,61.09,2023-06-27T13:27:58+01:00,auralisation_Cube (3)_arp,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Medium,4.11,2023-06-27T13:29:48+01:00,auralisation_Cube (2)_arp,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Medium,4.19,2023-06-27T13:30:09+01:00,auralisation_Cube (3)_drums,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Medium,4.11,2023-06-27T13:26:06+01:00,auralisation_Cube (1)_drums,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Far,61.72,2023-06-27T13:35:09+01:00,auralisation_Cube (5)_drums,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Near,12.43,2023-06-27T13:21:42+01:00,auralisation_Cube (1)_arp,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Medium,59.49,2023-06-27T13:25:35+01:00,auralisation_Cube (3)_singing,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Medium,59.16,2023-06-27T13:27:22+01:00,auralisation_Cube (1)_arp,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Medium,58.44,2023-06-27T13:33:33+01:00,auralisation_Cube (1)_singing,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Far,2.38,2023-06-27T13:34:19+01:00,auralisation_Cube (6)_drums,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Far,2.40,2023-06-27T13:38:35+01:00,auralisation_Cube (5)_singing,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Near,11.40,2023-06-27T13:20:45+01:00,auralisation_Cube (3)_arp,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Near,11.40,2023-06-27T13:22:45+01:00,auralisation_Cube (3)_drums,TRUE
e429643b-026c-409e-8862-c18ea8e77688,Near,11.40,2023-06-27T13:22:19+01:00,auralisation_Cube (3)_singing,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Near,157.31,2023-06-27T13:58:23+01:00,auralisation_Cube (1)_arp,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Far,123.16,2023-06-27T14:20:47+01:00,auralisation_Cube (4)_singing,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Near,51.19,2023-06-27T14:06:43+01:00,auralisation_Cube (2)_drums,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Far,2.38,2023-06-27T14:20:11+01:00,auralisation_Cube (6)_singing,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Far,57.85,2023-06-27T14:19:36+01:00,auralisation_Cube (6)_drums,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Medium,118.55,2023-06-27T14:16:37+01:00,auralisation_Cube (1)_singing,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Near,50.77,2023-06-27T13:57:11+01:00,auralisation_Cube (3)_arp,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Medium,117.24,2023-06-27T14:17:16+01:00,auralisation_Cube (2)_singing,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Far,176.70,2023-06-27T14:19:01+01:00,auralisation_Cube (6)_arp,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Near,11.44,2023-06-27T13:59:48+01:00,auralisation_Cube (2)_arp,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Medium,59.76,2023-06-27T14:16:02+01:00,auralisation_Cube (2)_drums,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Far,123.16,2023-06-27T14:20:05+01:00,auralisation_Cube (4)_drums,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Near,127.93,2023-06-27T14:04:55+01:00,auralisation_Cube (3)_singing,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Far,61.43,2023-06-27T14:21:21+01:00,auralisation_Cube (5)_singing,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Medium,59.16,2023-06-27T14:16:59+01:00,auralisation_Cube (1)_drums,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Far,178.86,2023-06-27T14:19:22+01:00,auralisation_Cube (5)_drums,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Medium,118.55,2023-06-27T14:15:58+01:00,auralisation_Cube (1)_arp,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Medium,58.82,2023-06-27T14:09:13+01:00,auralisation_Cube (2)_arp,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Medium,176.67,2023-06-27T14:17:26+01:00,auralisation_Cube (3)_singing,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Medium,59.49,2023-06-27T14:16:55+01:00,auralisation_Cube (3)_arp,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Far,119.68,2023-06-27T14:19:09+01:00,auralisation_Cube (4)_arp,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Far,61.72,2023-06-27T14:19:55+01:00,auralisation_Cube (5)_arp,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Near,100.89,2023-06-27T13:55:56+01:00,auralisation_Cube (3)_drums,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Near,11.44,2023-06-27T13:56:16+01:00,auralisation_Cube (2)_singing,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Near,102.28,2023-06-27T13:58:33+01:00,auralisation_Cube (1)_singing,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Medium,4.19,2023-06-27T14:16:42+01:00,auralisation_Cube (3)_drums,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Medium,59.16,2023-06-27T14:16:59+01:00,auralisation_Cube (1)_drums,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Far,61.72,2023-06-27T14:19:55+01:00,auralisation_Cube (5)_arp,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Far,57.85,2023-06-27T14:19:36+01:00,auralisation_Cube (6)_drums,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Far,2.38,2023-06-27T14:20:11+01:00,auralisation_Cube (6)_singing,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Near,11.44,2023-06-27T13:59:48+01:00,auralisation_Cube (2)_arp,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Far,123.16,2023-06-27T14:20:47+01:00,auralisation_Cube (4)_singing,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Far,176.70,2023-06-27T14:19:01+01:00,auralisation_Cube (6)_arp,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Medium,176.67,2023-06-27T14:17:26+01:00,auralisation_Cube (3)_singing,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Medium,58.82,2023-06-27T14:09:13+01:00,auralisation_Cube (2)_arp,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Medium,59.49,2023-06-27T14:16:55+01:00,auralisation_Cube (3)_arp,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Far,178.86,2023-06-27T14:19:22+01:00,auralisation_Cube (5)_drums,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Medium,4.19,2023-06-27T14:16:42+01:00,auralisation_Cube (3)_drums,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Far,119.68,2023-06-27T14:19:09+01:00,auralisation_Cube (4)_arp,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Near,157.31,2023-06-27T13:58:23+01:00,auralisation_Cube (1)_arp,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Far,123.16,2023-06-27T14:20:05+01:00,auralisation_Cube (4)_drums,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Near,100.89,2023-06-27T13:55:56+01:00,auralisation_Cube (3)_drums,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Far,61.43,2023-06-27T14:21:21+01:00,auralisation_Cube (5)_singing,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Near,11.44,2023-06-27T13:56:16+01:00,auralisation_Cube (2)_singing,TRUE
0a4871c7-16d1-4dd2-9cf5-c13fd1a30178,Near,102.28,2023-06-27T13:58:33+01:00,auralisation_Cube (1)_singing,TRUE
